id,medication_name,medication_ndc,brand_generic,category,specialty,created_at
012be092-588c-4e8e-96a1-c5fccd8a8414,Valium 5mg,00140-0004-01,Brand,Anxiolytics,Psychiatry,2025-03-31 10:39:56.376706+00
01b99f03-7db6-4fc0-943a-d743782a8742,Norvasc 10mg,00069-1540-68,Brand,Antihypertensives,Internal Medicine,2025-03-31 10:39:56.376706+00
01bf0bc4-1186-46af-98a9-2566c98b103e,Risperidone 2mg,00093-7487-56,Generic,Antipsychotics,Psychiatry,2025-03-31 10:39:56.376706+00
01d7458c-debf-4030-8173-6ba424a1dd1b,Gelatin-thrombin matrix 8mL,0009-0396-01,Generic,Hemostatic agents,General Surgery,2025-03-31 10:39:56.376706+00
0238106c-d41c-4ca1-b2d6-f416b3b0cdc5,Gadoterate meglumine 376.9mg/mL,59535-0050-10,Generic,Contrast agents,Radiology,2025-03-31 10:39:56.376706+00
024dee34-bdee-45a3-85e8-a3eb01dd4c6d,Vesicare 5mg,51248-0151-01,Brand,Antimuscarinics,Urology,2025-03-31 10:39:56.376706+00
031d7abc-00d8-42d8-a2c2-320323cd7a68,Gadopentetate dimeglumine 469.01mg/mL,00270-5313-90,Generic,Contrast agents,Radiology,2025-03-31 10:39:56.376706+00
0328b60f-7ad6-4535-92b7-35e4511a561e,Levetiracetam 500mg,00093-4152-01,Generic,Anticonvulsants,Neurology,2025-03-31 10:39:56.376706+00
03511402-e7ab-4ba3-8b54-1f7af1218702,Letrozole 2.5mg,00093-7523-56,Generic,Fertility treatments,Obstetrics & Gynecology,2025-03-31 10:39:56.376706+00
0368b57c-16c2-4fc0-a2b5-3f36f1258a37,Crestor 20mg,00310-0756-90,Brand,Lipid-lowering medications,Internal Medicine,2025-03-31 10:39:56.376706+00
038ae4db-502c-4166-b7cb-938a409be9ff,Capecitabine 500mg,00093-7524-86,Generic,Antimetabolites,Oncology,2025-03-31 10:39:56.376706+00
03e6395f-e21c-47d1-af64-dc4ca30897f8,Silvadene 1% cream,00085-0612-05,Brand,Antibiotics,Dermatology,2025-03-31 10:39:56.376706+00
042a987c-5548-46bc-8d14-5a0ebd22bcaf,Tacrolimus 0.1% ointment,00093-2483-15,Generic,Psoriasis treatments,Dermatology,2025-03-31 10:39:56.376706+00
048916e6-f542-4939-92ad-e840933c9588,Naprosyn 500mg,00025-1921-50,Brand,NSAIDs,Orthopedic Surgery,2025-03-31 10:39:56.376706+00
04f29584-f68f-40e1-979b-ac8b54f128f4,Pregabalin 75mg,00071-1014-68,Generic,Neuropathic pain medications,Neurology,2025-03-31 10:39:56.376706+00
05ff26c5-18d1-4564-a76a-f2f8fa21a46b,Bactroban 2% ointment,00029-1527-15,Brand,Antibiotics,Dermatology,2025-03-31 10:39:56.376706+00
069bc424-9475-43a9-94eb-bcacb84c15b0,Januvia 100mg,00006-0221-31,Brand,Antidiabetics,Internal Medicine,2025-03-31 10:39:56.376706+00
06d09767-bbb0-43df-8f2c-cca78ef687a5,Ezetimibe 10mg,00093-7770-56,Generic,Lipid-lowering medications,Internal Medicine,2025-03-31 10:39:56.376706+00
06faa266-b6d6-4960-8c23-8a6aee996745,Adalimumab 40mg/0.8mL,00074-0243-01,Generic,Inflammatory bowel disease,General Medicine,2025-03-31 10:39:56.376706+00
072f4275-886e-4bd4-9319-2c83b272bf84,Tizanidine 4mg,00093-7093-01,Generic,Muscle relaxants,Orthopedic Surgery,2025-03-31 10:39:56.376706+00
079de80b-0002-453e-88eb-b8856c9dcbec,Phenergan 25mg/mL,00641-2470-35,Brand,Anti-emetics,Anesthesiology,2025-03-31 10:39:56.376706+00
082c8d25-183c-4277-b52d-bdc21dbc2fa5,Cytotec 200mcg,00025-1461-60,Brand,Labor/delivery medications,Obstetrics & Gynecology,2025-03-31 10:39:56.376706+00
09b8e278-2e64-4777-a72c-3412d986d25c,Lamotrigine 100mg,00093-7208-56,Generic,Anticonvulsants,Neurology,2025-03-31 10:39:56.376706+00
09f3a6fb-f7d7-4b53-87f6-085cb5f6a89e,Protamine Sulfate,00517-1905-05,Brand,Reversal agents,Radiology,2025-03-31 10:39:56.376706+00
09f68b3d-8b14-4973-baa5-f5106c73194f,Pioglitazone 30mg,00093-7273-56,Generic,Endocrine medications,Internal Medicine,2025-03-31 10:39:56.376706+00
0a1e8502-deeb-4f2f-a5f4-3f106adff26a,Diovan 160mg,00078-0358-15,Brand,Antihypertensives,Internal Medicine,2025-03-31 10:39:56.376706+00
0a201e1a-09d0-4862-b86c-a9bc3a8003f5,Flecainide 50mg,00093-0890-01,Generic,Antiarrhythmics,Cardiology,2025-03-31 10:39:56.376706+00
0a26e41d-2f21-4851-8463-4b1c6f46a4df,Tolterodine 2mg,00093-0038-01,Generic,Antimuscarinics,Urology,2025-03-31 10:39:56.376706+00
0aafc31e-53f6-462f-bd15-0edc577fd2de,Cytosar-U 1g,00013-1094-95,Brand,Antimetabolites,Oncology,2025-03-31 10:39:56.376706+00
0ad9c9ea-1dbb-4f6d-905a-2bf8113b9604,Suprane,10019-0641-24,Brand,General anesthetics,Anesthesiology,2025-03-31 10:39:56.376706+00
0b829006-b970-4eca-93e6-c9da3583f385,Gadobutrol 604.7mg/mL,50419-0325-01,Generic,Contrast agents,Radiology,2025-03-31 10:39:56.376706+00
0b8ba696-579c-444f-ba59-df14f456d5d6,Protamine 10mg/mL,00517-1905-05,Generic,Reversal agents,Radiology,2025-03-31 10:39:56.376706+00
0bfa32b5-99c3-4a79-8cc8-f449be9376d9,Finasteride 1mg,00093-7380-56,Generic,5-alpha reductase inhibitors,Urology,2025-03-31 10:39:56.376706+00
0c0f3dbb-b6ca-4879-acf3-135706aff1ad,Lidex 0.05% cream,00089-1577-30,Brand,Topical corticosteroids,Dermatology,2025-03-31 10:39:56.376706+00
0c1d8ffa-1700-4c52-aaea-87d4482c7d64,Tadalafil 10mg,00093-5554-09,Generic,PDE5 inhibitors,Urology,2025-03-31 10:39:56.376706+00
0c456a39-202d-4b35-8e54-9a3c652c1819,Clopidogrel 75mg,00093-7463-56,Generic,Antiplatelet/Anticoagulants,Cardiology,2025-03-31 10:39:56.376706+00
0ca1b7d5-1f27-4edb-a6fd-74f5e2789173,Cerubidine 20mg,67457-0443-05,Brand,Anthracyclines,Oncology,2025-03-31 10:39:56.376706+00
0cb42898-eb47-47a1-8e57-f774df453b02,Lovenox 40mg/0.4mL,00185-0237-30,Brand,Anticoagulants,General Surgery,2025-03-31 10:39:56.376706+00
0d1d56e9-37ce-4a80-8593-55dd78e26e39,Mepolizumab 100mg,00173-0892-01,Generic,Biologics,Pulmonology,2025-03-31 10:39:56.376706+00
0df8fc48-f997-4474-b043-a32643bbc3d2,Concerta 18mg,50458-0585-01,Brand,ADHD medications,Psychiatry,2025-03-31 10:39:56.376706+00
0ec36cfc-4209-4e68-a45f-1c2868a0e5d2,Pancuronium 1mg/mL,00409-3214-01,Generic,Neuromuscular blockers,Anesthesiology,2025-03-31 10:39:56.376706+00
0efd7d58-6b09-4332-a7f5-31dcfb5d0104,Fluoxetine 20mg,00093-7198-56,Generic,Mental health,General Medicine,2025-03-31 10:39:56.376706+00
0fab2c92-a69f-422a-a2ea-4d97322d6914,Memantine/Donepezil 28/10mg,00456-1240-14,Generic,Neurocognitive medications,General Medicine,2025-03-31 10:39:56.376706+00
0ff95dac-ae81-4de2-a11f-72e1a62521e6,Fluorouracil 500mg/10mL,00703-3019-12,Generic,Antimetabolites,Oncology,2025-03-31 10:39:56.376706+00
100fc163-3475-414d-9b6e-9150230734e7,Cleocin T 1% topical,00009-3331-01,Brand,Acne treatments,Dermatology,2025-03-31 10:39:56.376706+00
10bf02d6-fe8e-4c9d-8bff-08dfa667cd0a,Reglan 10mg,00054-8202-25,Brand,Postoperative medications,General Surgery,2025-03-31 10:39:56.376706+00
