code,name,category,subcategory,specialty,generic_name,is_brand_name,is_target_medication,is_sample_data
med-isotretinoin-gen,Isotretinoin (Generic),Dermatologic,Acne Treatment,Dermatology,,false,false,true
med-absorica-brand,Absorica (Brand),Dermatologic,Acne Treatment,Dermatology,Isotretinoin,true,false,true
med-tretinoin-gen,Tretinoin (Generic),Dermatologic,Acne Treatment,Dermatology,,false,false,true
med-retin-a-brand,Retin-A (Brand),Dermatologic,Acne Treatment,Dermatology,Tretinoin,true,false,true
med-adapalene-gen,Adapalene (Generic),Dermatologic,Acne Treatment,Dermatology,,false,false,true
med-differin-brand,Differin (Brand),Dermatologic,Acne Treatment,Dermatology,Adapalene,true,false,true
med-clobetasolpropionate-gen,Clobetasol Propionate (Generic),Dermatologic,Topical Corticosteroid,Dermatology,,false,false,true
med-temovate-brand,Temovate (Brand),Dermatologic,Topical Corticosteroid,Dermatology,Clobetasol Propionate,true,false,true
med-betamethasonedipropionate-gen,Betamethasone Dipropionate (Generic),Dermatologic,Topical Corticosteroid,Dermatology,,false,false,true
med-diprolene-brand,Diprolene (Brand),Dermatologic,Topical Corticosteroid,Dermatology,Betamethasone Dipropionate,true,false,true
med-tacrolimus-gen,Tacrolimus (Generic),Dermatologic,Immunomodulator,Dermatology,,false,false,true
med-protopic-brand,Protopic (Brand),Dermatologic,Immunomodulator,Dermatology,Tacrolimus,true,false,true
med-pimecrolimus-gen,Pimecrolimus (Generic),Dermatologic,Immunomodulator,Dermatology,,false,false,true
med-elidel-brand,Elidel (Brand),Dermatologic,Immunomodulator,Dermatology,Pimecrolimus,true,false,true
med-calcipotriene-gen,Calcipotriene (Generic),Dermatologic,Psoriasis Treatment,Dermatology,,false,false,true
med-dovonex-brand,Dovonex (Brand),Dermatologic,Psoriasis Treatment,Dermatology,Calcipotriene,true,false,true
med-methotrexate-gen,Methotrexate (Generic),Dermatologic,Psoriasis Treatment,Dermatology,,false,false,true
med-otrexup-brand,Otrexup (Brand),Dermatologic,Psoriasis Treatment,Dermatology,Methotrexate,true,false,true
