code,name,category,subcategory,specialty,generic_name,is_brand_name,is_target_medication,is_sample_data
med-lenalidomide-gen,Lenalidomide (Generic),Oncology,Immunomodulator,Oncology,,false,false,true
med-revlimid-brand,Revlimid (Brand),Oncology,Immunomodulator,Oncology,Lenalidomide,true,false,true
med-pomalidomide-gen,Pomalidomide (Generic),Oncology,Immunomodulator,Oncology,,false,false,true
med-pomalyst-brand,Pomalyst (Brand),Oncology,Immunomodulator,Oncology,Pomalidomide,true,false,true
med-ibrutinib-gen,Ibrutinib (Generic),Oncology,Kinase Inhibitor,Oncology,,false,false,true
med-imbruvica-brand,Imbruvica (Brand),Oncology,Kinase Inhibitor,Oncology,Ibrutinib,true,false,true
med-acalabrutinib-gen,Acalabrutinib (Generic),Oncology,Kinase Inhibitor,Oncology,,false,false,true
med-calquence-brand,Calquence (Brand),Oncology,Kinase Inhibitor,Oncology,Acalabrutinib,true,false,true
med-imatinib-gen,Imatinib (Generic),Oncology,Tyrosine Kinase Inhibitor,Oncology,,false,false,true
med-gleevec-brand,Gleevec (Brand),Oncology,Tyrosine Kinase Inhibitor,Oncology,Imatinib,true,false,true
med-dasatinib-gen,Dasatinib (Generic),Oncology,Tyrosine Kinase Inhibitor,Oncology,,false,false,true
med-sprycel-brand,Sprycel (Brand),Oncology,Tyrosine Kinase Inhibitor,Oncology,Dasatinib,true,false,true
med-nilotinib-gen,Nilotinib (Generic),Oncology,Tyrosine Kinase Inhibitor,Oncology,,false,false,true
med-tasigna-brand,Tasigna (Brand),Oncology,Tyrosine Kinase Inhibitor,Oncology,Nilotinib,true,false,true
med-erlotinib-gen,Erlotinib (Generic),Oncology,EGFR Inhibitor,Oncology,,false,false,true
med-tarceva-brand,Tarceva (Brand),Oncology,EGFR Inhibitor,Oncology,Erlotinib,true,false,true
med-osimertinib-gen,Osimertinib (Generic),Oncology,EGFR Inhibitor,Oncology,,false,false,true
med-tagrisso-brand,Tagrisso (Brand),Oncology,EGFR Inhibitor,Oncology,Osimertinib,true,false,true
med-tamoxifen-gen,Tamoxifen (Generic),Oncology,Estrogen Receptor Modulator,Oncology,,false,false,true
med-nolvadex-brand,Nolvadex (Brand),Oncology,Estrogen Receptor Modulator,Oncology,Tamoxifen,true,false,true
med-letrozole-gen,Letrozole (Generic),Oncology,Aromatase Inhibitor,Oncology,,false,false,true
med-femara-brand,Femara (Brand),Oncology,Aromatase Inhibitor,Oncology,Letrozole,true,false,true
med-anastrozole-gen,Anastrozole (Generic),Oncology,Aromatase Inhibitor,Oncology,,false,false,true
med-arimidex-brand,Arimidex (Brand),Oncology,Aromatase Inhibitor,Oncology,Anastrozole,true,false,true
med-exemestane-gen,Exemestane (Generic),Oncology,Aromatase Inhibitor,Oncology,,false,false,true
med-aromasin-brand,Aromasin (Brand),Oncology,Aromatase Inhibitor,Oncology,Exemestane,true,false,true
med-fulvestrant-gen,Fulvestrant (Generic),Oncology,Estrogen Receptor Antagonist,Oncology,,false,false,true
med-faslodex-brand,Faslodex (Brand),Oncology,Estrogen Receptor Antagonist,Oncology,Fulvestrant,true,false,true
med-bicalutamide-gen,Bicalutamide (Generic),Oncology,Androgen Receptor Antagonist,Oncology,,false,false,true
